Investor Name,Geography,Check Size,Stages,Investment Thesis,Fake Email
Rhodium Ventures Family office,Israel USA +1,$50k to $1M,1. Idea or Patent 2. Prototype +3,"We invest in Internet & Impact, globally",rhodium@gmail.com
NGP Capital VC firm,USA China +4,$5M to $10M,3. Early Revenue,"We invest in early-stage B2B companies from Series A onwards in Europe, the US, Israel, and China within enterprise...",hello@ngp.com
Nahim Bin Moussa Solo angel,Bahrain Kuwait +4,$1k to $25k,2. Prototype 3. Early Revenue +1,"I invest in MENA-based startups with $100k-$1m+ in revenue, and 15%+ MoM growth",nahim@binmoussa.com
Techmind Angel network,France Spain +1,$50k to $1M,1. Idea or Patent 2. Prototype +2,We invest in early stage startups based in Europe.,contact@techmind.com
Sentor Investments Family office,Indonesia Singapore +3,$50k to $1M,3. Early Revenue 4. Scaling +2,We invest in many sectors and across numerous regions. We have an open mandate to invest in scale up and growth stage...,team@sentorinvestments.com
Haatch VC firm,UK,$150k to $620k,1. Idea or Patent 2. Prototype +1,We invest in UK-based B2B SaaS pre-seed or seed stage start-ups. Haatch is industry-agnostic with a portfolio across...,contact@haatch.com
Pario Ventures VC firm,USA UK,$100k to $20M,2. Prototype 3. Early Revenue +3,"We invest in Automotive, Mobility, Fintech, Oil and Gas, and open to other areas if the right deal.
Blockchain startups...",hello@pario.com
OVC Ventures Angel network,UK USA +25,$150k to $1.5M,3. Early Revenue 4. Scaling +1,"We invest in all sectors, move fast (two weeks), have a high preference for startups that can demonstrate initial...",ovc@gmail.com
NVP Norwest Venture Pa... VC firm,Canada USA +2,$500k to $10M,1. Idea or Patent 2. Prototype +4,"We invest in all verticals with a focus on healthcare, consumer, enterprise...",nvpnorwestventurepa@gmail.com
UVC Partners VC firm,Germany Switzerland +6,$500k to $5M,2. Prototype 3. Early Revenue +1,"We invest in early-stage B2B tech startups in Europe in the fields of Enteprise Software, Industrial Technologies and...",invest@uvcpartners.com
Reuseful Startup studio,USA,$250k to $500k,1. Idea or Patent 2. Prototype,"We invest in ""waste-to-value"" startups, tackling crucial environmental challenges by transforming waste into valuable...",reusefulstartupstudio@gmail.com
Senovo VC firm,Germany Austria +30,$1M to $3.5M,3. Early Revenue 4. Scaling,"We invest in exceptional founders building global B2B SaaS category leaders from Europe.

As a European first-mover,...",team@senovo.com
Smartfin VC firm,Belgium Denmark +10,$1M to $20M,3. Early Revenue 4. Scaling +1,We invest in promising B2B technology companies across Europe that have achieved initial signs of product-market...,contact@smartfin.com
Angelsquare Capital Angel network,France,$50k to $500k,2. Prototype 3. Early Revenue +1,"We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :)
We can leverage our tickets...",hello@angelsquare.com
Flyer One Ventures VC firm,USA Czech Republic +9,$100k to $1M,3. Early Revenue 4. Scaling,"We invest in early-stage startups operating in such industries as EdTech, Mobile, B2B SaaS, Enterprise, Gaming,...",flyerone@gmail.com
Jib Ventures Angel network,USA,$100k to $2M,1. Idea or Patent 2. Prototype +2,We invest in companies building an interoperable future of proactive and patient-centered healthcare....,jib@gmail.com
Sapir Venture Partners VC firm,Israel USA,$100k to $1M,1. Idea or Patent 2. Prototype +1,"We invest in Israeli founders commercializing deep-tech and cutting-edge science in Boston, New York, and Israel, at...",team@sapirventurepartners.com
BackFuture Ventures VC firm,USA UK +9,$100k to $200k,1. Idea or Patent 2. Prototype +1,"We invest in B2B SaaS at pre-seed and seed companies.  We invest globally, but look to connect and engage with founders...",invest@backfuture.com
Fundamental VC VC firm,India,$500k to $2M,1. Idea or Patent 2. Prototype +1,We invest in the first or second rounds of technology startups,info@fundamentalvc.com
Sunicon Ventures VC firm,India,$100k to $400k,2. Prototype 3. Early Revenue +1,"We invest in industries including but not limited to Agritech, AI, AR, Biotech, Blockchain, D2C, SaaS, Supply Chain,...",contact@sunicon.com
Patrice Fleurquin Solo angel,Belgium Netherlands,$25k to $50k,1. Idea or Patent 2. Prototype +1,"I invest in pre-seed, seed B2B2C business models with a much better (10x) solution than currently available.
Focus on...",patrice@fleurquin.com
Besant Capital VC firm,Spain Germany +5,$500k to $3M,4. Scaling 5. Growth +1,"We co-invest in SaaS, fintech and deeptech companies in Europe, Isreal and the...",info@besant.com
Republic Europe VC firm,Denmark Finland +9,$100k to $8M,1. Idea or Patent 2. Prototype +3,"We invest in UK-based and European consumer-startups, across all sectors. We occasionally invest in exciting,...",republiceurope@hotmail.com
Haymaker Ventures VC firm,USA Mexico +2,$1M to $10M,2. Prototype 3. Early Revenue,We invest in fintech companies at Seed and Series A.,hello@haymaker.com
JVP Jerusalem Venture ... VC firm,USA Israel +1,$1M to $40M,3. Early Revenue 4. Scaling +3,"We invest in entrepreneurs from the earliest stage of investment and all the way to exit, building international market...",contact@jvpjerusalemventure.com
The Helm VC firm,USA,$500k to $750k,1. Idea or Patent 2. Prototype +2,We invest in game-changing companies founded by women.,team@thehelm.com
Judy Bowen Solo angel,Canada USA,$100k to $300k,3. Early Revenue 4. Scaling +1,"I invest in early-stage companies led by diverse, innovative teams building scalable, tech-driven solutions. I look for...",judy@bowen.com
Henderson Turner Capit... Family office,USA India +3,$10k to $100k,1. Idea or Patent 6. Pre-IPO,"We invest in startups looking to transform mature industry companies to faster, more efficient, companies that use...",hendersonturnercapit@gmail.com
Nesprit Ventures VC firm,Albania Andorra +33,$50k to $200k,1. Idea or Patent 2. Prototype +1,"We invest in ClimateTech, WaterTech, FoodTech, and IIoT sectors to shape a future where progress and prosperity go hand...",invest@nesprit.com
Blast.Club VC firm,Andorra Belgium +6,$500k to $5M,3. Early Revenue 4. Scaling +1,"We invest in French and European entrepreneurs (generalist thesis, marketplaces, fintech, insurtech, IoT, web3, SaaS,...",info@blastclub.com
Via ID Corporate VC,Austria Belgium +26,$300k to $5M,3. Early Revenue,"We invest in European-based startups in the sustainable mobility (micromobility, electric vehicles, connected vehicles,...",info@viaidcorporatevc.com
WaVe-X Corporate VC,Austria Germany +3,$200k to $2M,3. Early Revenue 4. Scaling +1,"We invest in logistics & mobility, manufacturing tech, property tech and construction...",contact@wavexcorporatevc.com
Crescent Ridge VC VC firm,USA,$300k to $1M,3. Early Revenue,We invest in capital efficient entrepreneurs who are already generating revenue ($500k-$1M) who are solving deep...,hello@crescentridgevc.com
First Momentum Venture... VC firm,Albania Andorra +39,$200k to $1M,1. Idea or Patent 2. Prototype +1,We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in...,firstmomentumventure@gmail.com
HTGF High-Tech Gründe... VC firm,Austria Belgium +9,$300k to $1M,2. Prototype 3. Early Revenue,"We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture...",info@htgfhightechgründe.com
Mahmood Midlij Solo angel,Canada USA +29,$1k to $10k,1. Idea or Patent 3. Early Revenue,I invest in early to growth-stage startups that demonstrate strong market potential and innovative solutions aimed at...,mahmood@midlij.com
David Toborek Solo angel,USA Austria +6,$25k to $50k,1. Idea or Patent 2. Prototype +1,"I invest in people with a hands on approach:
1) Clear Goal
2) Ambitious Targets
3) Hungry to drive change

I am funding...",david@toborek.com
Go Global World Angel network,USA Canada +9,$20k to $50k,3. Early Revenue 4. Scaling +3,"We invest in industry agnostic, scalable model - no gambling.",team@goglobalworld.com
Plus Ultra Capital Par... VC firm,USA Canada +7,$2M to $25M,3. Early Revenue 4. Scaling,"We invest in SaaS, Software, Security, Cyber, IoT, Fintech, Proptech, EV, Enterprise, Enterprise Applications,...",plusultrapar@hotmail.com
Datainsight Angel network,UK,$15k to $100k,1. Idea or Patent 2. Prototype +1,We invest in startups that are helping companies realise the value in...,datainsight@hotmail.com
The Moon Venture VC firm,France,$300k to $3M,3. Early Revenue 4. Scaling,"We invest in seed investment with ticket from 250k€ to 1m for 5m€ maximum post-money valuation
We lead rounds with...",hello@themoonventure.com
A2D Ventures Other,Singapore Thailand +4,$100k to $500k,3. Early Revenue 4. Scaling,"We invest in early stage startups across Southeast Asia as syndicate lead, connecting investment opportunities with...",info@a2dother.com
Northventures.dk VC firm,Denmark Sweden +1,$500k to $4M,3. Early Revenue 4. Scaling,"We invest in startups within the realms of Life Science, Tech & IT. Previous investments primarily include; SaaS,...",info@northdk.com
G2 Fintech Fund VC firm,Mexico Argentina +10,$50k to $100k,1. Idea or Patent 2. Prototype +2,"We invest in early stage fintech, insuretech and proptech companies with a regional focus in Spanish-speaking...",g2fintechfund@gmail.com
Trind Ventures VC firm,Albania Andorra +41,$100k to $1M,3. Early Revenue 4. Scaling,"We invest in European software startups with a consumer or community component, such as marketplaces and...",contact@trind.com
SpringTime Ventures VC firm,USA,$500k to $700k,2. Prototype 3. Early Revenue,"We invest in fintech, insurtech, healthcare, logistics & supply chain in the USA only. 
Founders must be in the US and...",contact@springtime.com
UB Ventures VC firm,USA,$25k to $500k,1. Idea or Patent 2. Prototype +1,"We provide the fuel startups need —smart capital paired with expert guidance, turning bold ideas into thriving...",team@ub.com
Wix Capital Corporate VC,UK USA +1,$250k to $8M,3. Early Revenue 4. Scaling,"We invest in startups that share Wix’s technology, innovation and development mindset, and offer synergy with our own...",invest@wixcorporatevc.com
Ian Clay Solo angel,Canada USA +9,$100k to $500k,3. Early Revenue 4. Scaling +1,"I invest in early stage companies up to series A based in EU,UK,US & Canada mainly.
I am sector agnostic, as long. as...",ian@clay.com
Francis Santora Solo angel,Canada USA +4,$5k to $25k,3. Early Revenue 4. Scaling,"I invest in companies like this:

- $200-500k revenue growing fast
- Huge market
- Great product
- Great founder

That...",francis@santora.com
Doug Hickey Solo angel,USA,$25k to $400k,1. Idea or Patent 2. Prototype +3,I invest in product-first companies that are looking to solve problems for their...,doug@hickey.com
Piotr Grzegorczyk Solo angel,USA Germany +2,$5k to $25k,1. Idea or Patent 2. Prototype +1,"I invest in companies that want to develop globally, focusing on B2B, AI, and the Biopharma sector. I occasionally also...",piotr@grzegorczyk.com
Skilltor Tech Venture ... Startup studio,Zimbabwe Afghanistan +16,$500k to $1M,1. Idea or Patent 2. Prototype +4,"We invest in Web3, AI, Digital Trust, Infrastructure Software, Saas, Marketplace and Gaming startups with in a MVP...",info@skilltortechventurestartupstudio.com
Vantra VC firm,USA Austria +8,$300k to $20M,3. Early Revenue 4. Scaling +2,"We invest in software, security, and cleantech.

Tech: Our focus is on sustainable technology businesses from deep-tech...",vantra@gmail.com
Monte Carlo Capital VC firm,USA UK +4,$250k to $1.3M,3. Early Revenue 4. Scaling,"We invest in Saas, Fintech, DeepTech and Health Care, in the US, Europe and the UK. Typical investments start at...",team@montecarlo.com
Frontier Ventures VC firm,USA,$100k to $3M,3. Early Revenue 4. Scaling,"We invest in AI startups at Seed at Series A stage. We like B2B more than B2C. We don't do healthcare / healthtech, nor...",invest@frontier.com
GSF India VC firm,India,$100k to $500k,1. Idea or Patent 2. Prototype +3,We invest in tech-led startups and are completely sector agnostic. We’ve invested in category defining businesses...,info@gsfindia.com
"HearstLab Incubator, Accelerator",USA,$500k to $500k,3. Early Revenue 2. Prototype +1,We invest in early stage women-founded and led startups in North America. We look for startups that have a tech-enabled...,contact@hearstlabubatoraccelerator.com
Brennan Plaetzer Solo angel,Canada USA,$25k to $4M,1. Idea or Patent 2. Prototype +4,"I invest in in Web3, crypto, and AI. I am a generalist investor focused on pre-seed to Series B startups. I seek...",brennan@plaetzer.com
Telah Angel network,France UK +2,$150k to $300k,2. Prototype 1. Idea or Patent +2,"We invest in innovative internet companies (Web3, Blockchain, Consumer, VR,...",telah@gmail.com
Abac Nest Ventures VC firm,Spain,$150k to $500k,1. Idea or Patent 2. Prototype +1,We invest in outlier entrepreneurs building B2S SaaS solutions to transform the SME industry across Southern...,contact@abacnest.com
Valia Ventures VC firm,USA UK +5,$75k to $1M,2. Prototype 3. Early Revenue +1,We invest in founders building tomorrow’s most iconic companies.,contact@valia.com
NextSTEP VC firm,Italy UK,$50k to $200k,1. Idea or Patent 2. Prototype +1,"We invest in Enviromental Sustainability and Cleantech startups, in the Idea, Prototype or Early Revenue stage. We...",invest@nextstep.com
Mindshift Ventures VC firm,Belgium Denmark +14,$1M to $3M,4. Scaling,"We invest in software companies (B2B SaaS, ecommerce, AI/ML ...etc.).

We do not invest in health tech, bio tech and...",info@mindshift.com
Matterwave Ventures VC firm,Austria Belgium +30,$500k to $4M,2. Prototype 3. Early Revenue +1,We invest in European early-stage hardware and software companies that shape the future of industrial value creation....,info@matterwave.com
